,VIN,Market_Value_Mean,Market_Value_Std,Count
1893,JT3HT05J4X0045999,13002.52,3249,62
1894,JN1CZ24A0LX001892,25324.65,7101,16
1895,WBAWL73557PX45651,10754.13,2567,573
1896,WBAUC73578VF23278,12869.56,2743,160
1897,1G6KD54Y6XU762104,4361.42,1171,82
1898,WUASNAFG4EN001623,118513.28,16480,29
1899,YS3FH51UX71141768,7214.37,2898,4
1900,WBSCK9334WLC86097,22256.37,5510,61
1901,JTEHT05J252076404,18962.93,4960,58
1902,1G6DV5EP6E0114858,45547.57,5863,160
1903,WP0CA29902S652843,31831.33,6226,189
1904,2FTHF26F5SCA28767,7319.36,2600,25
1905,3VW6T7AU1KM004549,31245.74,3095,1438
1906,YV1672MH4A2488208,11164.9,2240,25
1907,TRUB1AFK3D1002609,23564.13,4262,114
1908,JM1NDAC7XK0310720,30070.46,2495,92
1909,4USCH7328TLE00772,9439.45,2656,76
1910,1J8GA69197L210995,19064.28,3090,135
1911,JM1NDAC76K0304400,30070.46,2495,92
1912,WDBFA67F2VF149646,12587.66,3656,42
1913,WDBSK75F06F111158,18205.79,4004,213
1914,1C4HJXFG1JW310279,48812.48,4866,4553
1915,WDDNG7KB3DA501365,48815.0,19042,3
1916,JTMHY7AJ1D4018694,44456.42,7001,136
1917,WBAPT73508CX01974,9222.2,1991,52
1918,WBAHE1325SGE54696,7715.78,1381,3
1919,WDBCA39D1LA503728,15238.41,4254,6
1920,3C63RRNL1GG170519,59161.17,8793,384
1921,JF1GG29683H800909,9213.92,2315,20
1922,JM1NB353020233609,10231.26,2780,144
1923,WDDPK4HAXEF087249,28138.11,4401,296
1924,1N4GB32A1MC733040,6500.0,0,1
1925,WBS2U7C02M7J53535,72878.2,7535,141
1926,WAUGVBFR8CA022440,22898.57,4357,56
1927,1FTDF15Y3MLA14421,6094.15,1744,14
1928,WBSWL93588PL89155,29225.34,5695,356
1929,1G2MG35XX7Y134812,14694.0,3706,187
1930,JN1AR5EF9AM230766,70936.84,9355,90
1931,5YJ3E1EB9KF237475,48262.24,5588,2613
1932,WDBTJ72H87F210499,10043.3,2261,17
1933,JTJHT00W033526160,16417.92,3991,69
1934,WBAPT73509CX02396,10841.32,2609,22
1935,WVGDP9BP4ED012272,24203.13,4926,40
1936,1FTEF15N0RNB22677,6617.8,2160,85
1937,WBACE51060EN57909,12249.64,848,2
1938,JTHBD182610015272,7037.86,1621,55
1939,1FA6P8CF1H5253790,34884.31,4194,4834
1940,1FMSU41FX1ED04511,9614.91,2436,70
1941,19UUA76538A015559,10958.65,2561,170
1942,SALEWEEE9P2109151,108696.2,15817,26
1943,WBAUC73509VK80041,14732.61,3035,116
1944,JNKBY01EX6M203120,8109.26,1593,74
1945,1GTEK19R6TE543772,6603.43,1927,36
1946,4S3BP686256321509,7581.85,1872,6
1947,JT3DJ81W9S0102551,25043.59,6958,13
1948,WF0DP3TH1H4123713,37789.68,4115,898
1949,3VWH17AU4HM507290,23245.41,2901,1384
1950,WDBEA32E8SC191213,7144.05,2241,18
1951,WP0AB299X1S686629,61140.51,12430,76
1952,YV1RH527862520803,9566.57,2814,16
1953,6G3F25RW0FL123400,42372.14,5731,254
1954,WUAW2AFC1GN900322,54621.72,11577,362
1955,1FABP45E5KF307329,17919.49,5189,46
1956,WDDHF9CB8EA893237,46370.35,7426,35
1957,JF1GV7E60CG026489,17581.54,2927,127
1958,JM1NB354940407589,17594.93,3962,35
1959,TRUWF28N241014203,10050.53,2607,14
1960,TRUUF38J191024660,17304.19,3158,27
1961,1HGEM1158YL114978,19983.0,4555,3
1962,1FMNU42S3YEB35645,9491.89,2551,204
1963,JS4JC51C3G4105679,16698.0,3034,5
1964,WDBSK76F25F101261,26515.53,5550,18
1965,1FMDU15Y6FLA12053,17425.05,3500,2
1966,YS3DP75GX17015215,10734.65,2308,5
1967,5YJYGDEEXLF042059,63961.63,5435,962
1968,SAJDA42B02PA26343,14520.88,3609,35
1969,SALLDVAB8FA439151,70922.81,14339,8
1970,WBSNB93578CX09345,23509.35,5348,92
1971,JT6HJ88J6V0177744,20586.6,3883,27
1972,KMHGH4JH1EU079533,19812.85,3575,339
1973,1ZVHT82H995134773,16511.63,3639,412
1974,4TAVN52N1WZ039077,8467.56,2209,91
1975,WDBNG76J23A363746,15175.69,2424,8
1976,JTMHY05J495003996,34756.33,6094,29
1977,1GNEK18K1RJ327792,14087.79,4158,28
1978,WAUNNAF49HA154653,26172.66,3397,2469
1979,1GCCS14WX28121117,6232.07,1649,265
1980,2HGED7466LH019929,9800.0,0,1
1981,1G1YN2DT4A5800401,78922.27,10603,88
1982,AADD2DT1BRB810233,71639.63,20630,12
1983,JN1BZ36A88M852040,14533.05,2877,97
1984,SCFRMFAW2JGL03826,146882.85,18546,31
1985,JTMHY7AJ1B5012210,37603.89,6096,47
1986,SALHE1242SA658998,28213.58,7964,11
1987,2GTEK69U311231036,10486.91,3288,11
1988,WP0CB2986YU664612,17205.42,3902,96
1989,WDDZH6GBXHA057084,47421.64,5554,132
1990,JF1SG69694G708667,7696.84,1822,57
1991,JTHBN30F420066116,7734.73,1800,188
1992,5YJXCDE27JF136085,82495.6,9070,1097
1993,WBSCK9334WLC86097,22256.37,5510,61
1994,WP0AA29987S710647,48643.68,8835,79
1995,WBADN5342YGC93966,7638.56,1742,9
1996,5J6YH18326L008909,7009.84,1810,73
1997,WBAGG83401DN87394,10406.85,2721,19
1998,WDDZF8KB9JA438150,95184.19,14359,339
1999,JTHBP262195005845,33725.49,8081,22
2000,TRUXD38J391010486,19481.28,5833,10
2001,WP0AA2A82GK170683,53051.48,5211,152
2002,WBSBG9326WEY78252,19252.19,5467,37
2003,WP1AA2A24GKA14848,38809.36,5603,1061
2004,JT3HN86R3Y0269568,7515.44,1819,193
2005,WBSDE93412CF90163,47409.04,15318,27
2006,WBSKG9C53DJ592972,41292.16,9070,229
2007,WDBFA68F2XF186049,13600.4,3632,113
2008,1FAFP46V1WF180035,16384.31,3966,60
2009,WU1ARBF15LD025918,160307.46,20577,5
2010,WBANA73544B048224,5960.09,1366,121
2011,2G2FV22G0Y2165773,19175.56,5141,42
2012,WP0CB2963MS461973,52738.13,13849,15
2013,1FDJS34G8SHB44208,11440.0,0,1
2014,WAUXD68D61A114042,22720.06,4838,5
2015,5YJXCBE47GF001056,73679.57,6716,340
2016,WD0PF445885346605,19934.83,3714,24
2017,WDBNG76J24A425504,10423.83,2051,7
2018,JN1HZ14S2EX032508,20024.72,3756,14
2019,1GNEK13T34R173497,7025.84,1715,924
2020,WAU3VAFR0BA024979,19528.76,3670,170
2021,JF1SG69695G709917,6985.39,1663,35
2022,WDDHF9CBXEA963627,46370.35,7426,35
2023,WBSCK9331WLC86347,22256.37,5510,61
2024,ZAM39JKA0B0056260,27212.7,4114,39
2025,WDBNG74J33A359496,12346.23,2733,15
2026,5UMBT93548LY53969,28348.39,6325,13
2027,WDBJF74J0YB071714,21173.89,8847,5
2028,2FAFP74V18X175249,6778.68,1928,25
2029,WBSEH93486B798027,22121.12,4008,43
2030,WBA3R1C54GK529530,31798.64,4125,268
2031,WP0AB0947HN475275,7420.98,1759,11
2032,ZFFEW58A160150417,126635.68,14515,31
2033,WBAEH73435B216231,11823.74,2551,231
2034,JM1NB353810204664,9699.7,2207,161
2035,WBA1J7C52EVX33787,26195.37,4085,177
2036,5YJ3E1EA8LF645863,50644.83,6110,2037
2037,WBAEN33403PC12528,5669.25,1331,13
2038,1G1AP87L5BL151795,28604.3,7012,39
2039,WP0AC29928S792113,178397.03,44739,12
2040,WBSBR93412EX23176,20534.7,4952,115
2041,WP0BA29952S635242,38617.96,10587,17
2042,WBAFR7C52CDU78592,15546.87,2887,477
2043,WF0DP3TH5H4122547,37789.68,4115,898
2044,1FMEU15N5RLB29332,22289.18,6226,50
2045,SALMF1E48BA354551,18959.0,3246,172
2046,JHMBB6241XC004040,7219.1,2096,14
2047,WBSCK9339WLC86077,22256.37,5510,61
2048,WMWRE33596TL23372,7319.32,1677,305
2049,JHMAP114X3T005358,27422.12,6289,112
2050,5YJ3E1EB7KF465068,48262.24,5588,2613
2051,WDDRK7HA8CA009315,157391.33,25177,58
2052,1G1YT2D67J5300135,89634.71,9798,87
2053,WDBSK74F34F078378,24819.14,5315,56
2054,WP0JB0928GS862884,26364.63,8024,16
2055,JT6HT00W7X0067470,12807.67,3177,54
2056,6G2VX12UX6L830426,20029.07,4319,199
2057,WP0CB29822U662542,18274.74,3580,105
2058,1J4FA69S44P728006,17117.04,4086,209
2059,JF1GV8J60DL019613,25160.35,3984,342
2060,W1KZF8KBXMA960533,139895.57,15013,102
2061,WDBPJ78J32A021891,9956.43,1792,12
2062,5YJ3E1EA5HF002460,42873.14,3303,65
2063,WP0AB29917S732728,60480.28,11620,138
2064,WBAPL33549A515277,11743.74,2759,202
2065,WP0AB2A86EK191191,57439.31,5741,254
2066,5YMGZ0C55CLL29704,27766.14,4528,87
2067,JTEBU11FX9K060760,22175.43,4354,119
2068,WBAUU3C50BA951131,12098.14,2500,80
2069,WP0CB29915S675405,54476.17,10160,53
2070,WBSBL93483JR23921,21332.78,5137,98
2071,WBSBL93492JR13784,20534.7,4952,115
2072,WP0CB2988YU664305,17205.42,3902,96
2073,WBSDE93423CF93915,37973.51,12339,20
2074,WDBUF76J63A365904,21131.93,4410,11
2075,WAUR4AFD6DN030539,44347.86,4897,7
2076,3FCLF53G8TJA00185,16748.5,3179,2
2077,SAJWA6GLXEMK07555,45137.79,7001,241
2078,JH4DC53083C020483,8632.71,2665,22
2079,WUABWGFFXJ1904111,59685.89,5396,322
2080,5YJSA1E5XMF454411,188888.5,1430,2
2081,JTJBT20X530016589,10898.67,2587,176
2082,1G1FG1R7XG0185835,36858.11,3868,1563
2083,WBSBG9337XEY82871,18065.14,4662,65
2084,WMWMF73569TT97805,8619.14,1857,552
2085,1G1YY22P7R5115947,13798.4,2918,112
2086,YV1SJ527852472837,10622.0,1597,4
2087,WP0CA29831U621936,14688.28,3235,183
2088,WBAUC73508VF25518,12869.56,2743,160
2089,WP0CA2993XS650303,27773.89,5719,123
2090,SALLDVAB8EA325136,34937.81,4838,5
2091,SAJDA42B333A33070,18379.46,5247,12
2092,WBS8M9C5XJ5J80054,67138.06,7295,1075
2093,WBAVB73557VF49898,10754.13,2567,573
2094,JM1NC2LF3C0226532,19156.84,2620,17
2095,1FALP45T2RF136455,11059.95,3184,96
2096,JM1NB3531X0118878,9294.29,2381,184
2097,WBSBR93442EX23091,20534.7,4952,115
2098,WDBUF26J65A587171,7237.16,1666,30
2099,WP0AA2A83BU761490,36008.35,4389,35
2100,WDBFA68F2XF174922,13600.4,3632,113
2101,WBSFV9C5XED593043,42563.14,6170,224
2102,1GDS7DC48D1135734,38757.01,7537,31
2103,2G1FK3DJ8D9209550,26196.5,4250,868
2104,1GKEK13RXXR912029,5161.12,1407,87
2105,JF4GG72676G050827,8245.51,353,2
2106,WDBPJ75J61A016980,12567.58,3226,11
2107,JTMHY7AJXD4012022,44456.42,7001,136
2108,WBABW53484PL44396,8632.28,2197,163
2109,JN1HZ16SXEX014416,8383.74,2399,8
2110,JTHFN45Y389017978,24751.87,5094,114
2111,2C3CDZBT7HH658004,31816.99,4341,1593
2112,WBA3A9C55EF478518,22623.14,3460,331
2113,2G1FP32G122158827,19278.1,5487,275
2114,WP0AA2A93DS106690,71352.28,8006,214
2115,JF1VA2U62F9813475,29582.52,3915,349
2116,JHMEG2179RS003102,8123.9,2250,4
2117,1FTEX1RG6KFD46853,69908.35,7008,3102
2118,WBSBR934X4PK06756,21848.86,5900,112
2119,JT3HT05J4X0029107,13002.52,3249,62
2120,3VW5A7AJ4CM368487,10874.03,2172,428
2121,WAUFEAFM9CA127479,12100.25,2312,47
2122,WBAUC73568VF23837,12869.56,2743,160
2123,JM1NB3530Y0144518,9688.49,2105,110
2124,JA3XE74C4MY006824,25613.92,7141,13
2125,JHMEG2177VS000581,18995.0,0,1
2126,JTMCY7AJ7L4087558,99218.25,7741,58
2127,SAJWA73B34TG21500,11304.48,2692,34
2128,JA3XE74C9NY056541,17841.05,3782,7
2129,1FACP42E8LF112402,19171.49,4835,24
2130,5YJ3E1EB7JF070628,46433.81,4352,3544
2131,4USBT33413LR62868,11394.25,2873,303
2132,WBSDX9C53BE584997,33375.0,6760,466
2133,3C3CFFFH9DT749386,13202.71,2842,665
2134,5TEWN72N21Z834723,11150.0,2741,141
2135,WBANN73577CN04400,8735.35,2213,26
2136,WVWN87CD6NW120587,37741.51,1583,691
2137,1C4AJWAG2FL628021,26435.55,3076,3285
2138,JH4DB8595YS000351,17244.83,1060,2
2139,ZFFZR49A4W0110088,146946.83,31627,4
2140,JA3AW75K2SY828480,39836.28,7169,4
2141,JTJBT20XX60111007,14575.22,3318,484
2142,1ZVBP8AM2E5224494,17422.47,3191,4926
2143,SALWR2RE7JA182410,79360.39,7261,442
2144,WDDKK5KF8EF269875,30785.24,5067,608
2145,JT3GS10V320002455,8688.0,0,1
2146,JTEBU4BF7AK076662,24658.36,4900,651
2147,WP1AF2A53HLB62125,58845.55,7049,230
2148,1FTHX2519GKB81237,8524.64,2554,7
2149,WBACE51060EN65119,12249.64,848,2
2150,3C3CFFFH4DT652158,13202.71,2842,665
2151,1G8MG35X67Y141262,14420.94,3774,97
2152,2HGFC1E59JH705423,25896.08,2516,1112
2153,WMWSY5C56CT312622,19987.8,3832,4
2154,1FAFP68G6WK233295,4572.57,603,2
2155,WBSBG9320TEY72717,27931.67,6641,6
2156,WDBBA48D7KA102556,31578.95,10200,103
2157,WBA4U1C58H5A15881,38674.55,5503,162
2158,JH4KA3266LC007853,6996.31,1412,2
2159,WDBSK75F13F013221,15726.05,3557,554
2160,WUABWGFF7KA901555,63569.36,4116,217
2161,TRUWT28N031011064,9143.99,2279,13
2162,JN1AR54F99M250545,69743.81,9316,136
2163,WBAEV53483KM04995,5929.81,1621,42
2164,1G1YY2256T5112267,20107.83,4846,42
2165,JTEBU14R050075361,10197.28,2197,926
2166,1GCHK29U71Z288191,11128.31,3079,323
2167,SALTL16483A811962,5826.46,1331,10
2168,1G1Y42D95K5801291,176131.21,28024,172
2169,1D7HU18N06J232782,9997.04,2350,1954
2170,WDDNG79X17A068196,31714.38,5782,24
2171,1FMEU15H3LLA42241,16402.13,4883,25
2172,WBAEV53442KM00277,5176.48,1028,19
2173,WVWAF03D768001836,12977.0,0,1
2174,SAJWA0FB7CLS51554,14229.79,2542,134
2175,JF1GD29652G505943,9681.54,2502,28
2176,WAUGN74F57N051088,13201.35,2398,23
2177,3VW4T7AUXGM068510,22001.93,3115,1589
2178,JM1NB353X20227557,10231.26,2780,144
2179,JHMBB1177SC001456,19999.0,0,1
2180,WP0AB091XES120796,59074.1,13624,34
2181,WDBUH70J54A387669,7677.05,1539,8
2182,WP1AB2A29CLA42632,24532.52,4668,188
2183,JT8CH32Y5V1000649,7675.88,1618,9
2184,JF1GR89619L806764,19701.2,4074,49
2185,WP0AA29971S623023,31410.06,6988,72
2186,SALSH2E48CA725359,21664.65,4533,138
2187,WV2ZA0253CH064666,28211.07,5776,4
2188,2FABP7EV1BX166006,9340.25,2273,69
2189,1G1YY22P1T5100710,15950.52,3940,103
2190,3GKEK18SXSG502030,12740.95,4847,10
2191,WBSJF0C51KB446667,92482.18,9151,694
2192,WBAKF9C5XBE672119,13915.04,2799,482
2193,JTEBU4BF0CK132573,29877.54,5434,679
2194,WP0CB2985YU660132,17205.42,3902,96
2195,2G2FV32G522144544,28658.85,8371,50
2196,TRUWC28N311006955,6512.56,1619,18
2197,WBADN5332XGC92533,11244.17,2211,5
2198,WP1AC2A20DLA92074,38993.71,6347,68
2199,1FAFP47V9WF225804,16384.31,3966,60
2200,SAJWA43C489B23235,26118.0,4993,46
2201,1G6AM4781E9142424,12520.02,3615,5
2202,JTEBU4BF0BK110698,27509.73,4948,491
2203,WDBSK74F73F035967,24410.49,5969,104
2204,WDB46033317046333,5555.0,0,1
2205,5UXFB93572LN78435,9469.95,3175,10
2206,WDBVG78J24A000524,107175.08,16473,4
2207,W04G05GV6B1099959,9262.94,2356,26
2208,1G1Y73DEXD5701667,61158.35,8936,47
2209,5YMKT6C52H0U38970,60973.24,7373,222
2210,WP1AC2A28CLA82889,35710.99,6631,104
2211,5YJXCBE42HF053972,90416.77,11359,111
2212,1J4FA29165P333469,12621.36,2768,76
2213,3VW5T7AU5KM008194,31245.74,3095,1438
2214,WAUC4CF53KA080443,58763.85,4529,363
2215,1ZVBP8JZ2D5256050,59769.77,8524,176
2216,WP0CB29838U731649,32874.24,6477,52
2217,JTEHT05J442056766,17089.44,4113,92
2218,KMHT36AH2KU003050,29513.22,2751,217
2219,1FAFP48Y43F446179,31878.74,6259,149
2220,WUADU78E38N900035,38638.14,10858,32
2221,WDBUH76J06A850943,16675.94,4373,13
2222,JN1CZ24D2SX570185,28631.67,8077,3
2223,WDDHF7EB7DA721555,38329.65,5185,32
2224,WBSWL93588P331109,29225.34,5695,356
2225,JTHBP5C23C5010798,43112.54,6128,38
2226,JT6HT00W6X0075060,12807.67,3177,54
2227,WDBUF77X88B260642,19513.53,3821,46
2228,JT2SW22N8M0016280,22540.45,4448,7
2229,WBSBG9329WEY78407,19252.19,5467,37
2230,WAUHFAFL3DN010911,14926.47,3043,150
2231,WMWRH33547TJ44505,7489.18,1693,355
2232,WMWMM33598TP71059,7817.78,1506,118
2233,1G4GK477XGP429873,39034.21,7674,12
2234,WAUKF78E58A065171,7821.12,1764,59
2235,1G1YY2D78J5102626,69955.81,7695,308
2236,JT6HJ88J3V0173943,20586.6,3883,27
2237,5YJ3E1EB3JF074305,46433.81,4352,3544
2238,WBABD53486PE10263,9439.74,2190,135
2239,SALLDVAF8JA917621,108998.03,18998,3
2240,WDBCA32C5FA138444,5631.23,1956,6
2241,WBS3S7C54KAC09452,81433.03,8985,121
2242,1FATP8JZ6G5200145,76659.03,14590,24
2243,SALTY1249XA211397,6401.98,1726,9
2244,SJAAC2ZV1HC014538,145277.73,18091,247
2245,WDB46323017102407,43950.0,0,1
2246,WAUAGAFD9DN009768,21122.72,4515,79
2247,WBALM7C58AE382247,26360.77,5318,28
2248,1ZVFT85H965142466,13565.53,3254,1089
2249,ZAM45VMA6J0295489,93285.49,14325,389
2250,SAJWJ6DLXGMK22841,61274.41,6961,255
2251,JM1NA3539V0738894,9329.84,2283,30
2252,3D7HA16HX4G185135,38207.33,9337,64
2253,WBSCK9331WLC85828,22256.37,5510,61
2254,WVWAF63D248010640,7596.03,1742,23
2255,SALJY1245VA550274,15979.93,3543,7
2256,4S3BL676966200779,8363.84,1808,31
2257,WDDLJ7EB1CA051380,37837.69,5867,149
2258,WDBPJ76J63A036261,14672.6,4298,8
2259,WVWKC71K98W038926,14253.16,3097,159
2260,1FMEE5DP8MLB04845,69492.05,7768,2
2261,KMHHU6KJ9GU131541,24379.77,3834,267
2262,1FMEU15G0CLA30717,19100.12,2828,2
2263,1GTG6CEN8J1321766,33083.9,4237,1370
2264,1MELM5049PG664802,2499.0,0,1
2265,JN1AR5EF6AM230370,70936.84,9355,90
2266,WP0AA0944DN465199,13486.16,4082,13
2267,ZC2FP1106KB200263,8476.31,2433,17
2268,WDDNG79X98A224339,42146.52,14535,6
2269,WDCYC3HF7CX192835,63158.42,7993,43
2270,5UXFA93555LE82975,8462.85,2118,9
2271,WBSBK9333WEC42530,19252.19,5467,37
2272,WBY2Z2C53HV676330,86670.84,8909,103
2273,4JGDA7FB9GA676656,60156.55,7035,108
2274,3G0FNTEY3BS800277,11307.48,2562,5
2275,YV1MS382552085152,5009.1,1259,113
2276,JTEBU11FX70006724,17256.33,3330,2460
2277,WAUSH94F37N099296,7927.78,1849,21
2278,JM1NA351XM1221451,9707.44,2687,60
2279,WDDHF8HB8AA157623,12848.37,2590,714
2280,JT3HJ85J9V0186374,20494.35,4764,20
2281,1J4FA39S16P731625,15414.79,3224,462
2282,WBSDE9349YBZ96669,29754.47,7638,28
2283,WBSLZ9C54CC985431,44121.29,6058,15
2284,WP0AA2A96DS106974,71352.28,8006,214
2285,1FA6P8JZ2L5552386,75038.54,9085,194
2286,WMWRE93576YB72136,7319.32,1677,305
2287,WAUGFAFC4EN071598,18548.48,3235,798
2288,WBS3C9C59FP805746,47689.06,5822,395
2289,WDBGA51E2NA024271,10798.34,986,3
2290,WP1AE2A25FLA52540,39785.84,5654,64
2291,1G6DN57P190154591,35990.02,6067,105
2292,JTEHT05J952069692,18962.93,4960,58
2293,WDDNG71X29A264890,16234.54,2974,145
2294,JH4DC53025S007379,9659.39,2254,20
2295,WDB1070461A000776,23346.05,3249,4
2296,WDBGA76E7SA209903,13320.76,3582,8
2297,1C6JJTBG1LL186834,55931.26,5219,3705
2298,4S4BT63C066103431,13656.58,3166,39
2299,WDBFA76F11F199942,46315.07,10010,3
2300,WP1AF2A29ELA47305,31765.94,5527,156
2301,WP0AA2Y14MSA15785,102409.52,8911,412
2302,3VW5T7AU9KM017075,31245.74,3095,1438
2303,WP0CA298XYU623192,13790.52,2827,154
2304,WBA3A5C54CF452756,14098.76,2992,1451
2305,JA3AM84J5VY004241,38800.0,0,1
2306,SALJY1244TA700632,11116.7,4293,3
2307,W1WV0FEY4L3759104,62043.16,15433,103
2308,1JTML63P8JT137576,13211.13,2192,4
2309,WBAFR7C54DC828599,17881.07,3099,799
2310,2MEHM75V43X612114,16198.62,4593,32
2311,1G1BL83E1MW219356,4900.32,1509,3
2312,1G1YS2D61K5600855,89748.85,11049,252
2313,WDBBA48D0GA047570,23716.84,6734,82
2314,1FA6P8CF8H5210032,34884.31,4194,4834
2315,1FMDU34X6RUC25037,3089.86,1053,17
2316,WDBCA37D5FA169985,9664.7,1529,3
2317,WDBEA34E2NB700834,9447.5,2188,2
2318,19UUA9E56AA000024,12571.08,2567,260
2319,WP0CE2A79JL189950,120282.78,23679,28
2320,WAUMR44E65N015999,19345.6,4276,4
2321,JTDDY32T550076517,9448.87,1647,5
2322,SAJDA43B575B06707,19939.76,4420,226
2323,WBSEK93517CY78033,22733.15,4589,148
2324,WDBFA68F41F198940,15110.5,3607,50
2325,1FMSU43P35ED45249,19413.74,5213,171
2326,WAUUL78E67A186937,19405.54,2343,8
2327,JT6HJ88JXV0152006,20586.6,3883,27
2328,JT8JZ31C0S0029598,8093.96,1683,8
2329,1GNDT13W6T2129844,3387.71,1033,35
2330,WBSBL93421JR10336,23895.88,6298,31
2331,WP0CB2A88HS241179,72359.19,7241,222
2332,WAUKJAFM0DA018307,16308.74,2821,105
2333,WBABN53492JU26897,8019.56,2228,91
2334,WBSFV9C57DC773830,37127.29,5231,191
2335,WBAPM7C50AE194887,14753.37,3181,221
2336,JF1GD70674L516625,22099.84,5443,54
2337,WP0AA29903S623478,38607.3,7941,121
2338,YV1RH52Y042354962,8979.89,2074,19
2339,WBA5U7C0XLFH63367,52173.41,3390,527
2340,WBXPC93408WE78782,7943.19,1620,560
2341,JHMEH6163PS002035,7780.04,2093,11
2342,WP0AB29981S686483,61140.51,12430,76
2343,1B3BA64A5JG315169,12900.0,0,1
2344,WP0AA29949S706372,57940.27,10061,55
2345,YV1MK672282078389,7822.19,1684,128
2346,JHMBB6149YC008842,8031.57,2365,14
2347,1GNSKCKJ4LR182559,64917.44,6914,1123
2348,1HGEJ8243WL102676,3799.98,960,38
2349,1G1YY36W285120060,31768.08,4944,368
2350,3TMLU4EN3FM191125,30284.63,4059,3800
2351,6G3F15RW0EL952517,37304.93,5190,227
2352,1FADP3L90FL239599,19231.25,3077,662
2353,1G6EL6784FE642862,14470.59,3908,45
2354,WUABWGFF9KA902755,63569.36,4116,217
2355,YS3GN4AR3B4002561,10938.59,2354,59
2356,6G3F15RWXEL940150,37304.93,5190,227
2357,SALTR19484A841247,18801.88,4586,10
2358,WP0CA2968SS840290,54831.72,15362,3
2359,5UXFB93593LN80821,9214.9,1770,10
2360,WDBGA32E2TA320813,5288.78,2347,3
2361,WDDLJ7EB8CA024015,37837.69,5867,149
2362,WBANW53558CT34282,9905.25,2047,136
2363,WVWKG61J14D129085,21633.6,4442,20
2364,JM1GG12L661102350,8020.31,1850,36
2365,SADCM2BV7HA893431,41080.71,4924,426
2366,WP0AB2A79JL135337,92374.91,7014,527
2367,WBABD53415PL16477,9026.89,2180,110
2368,JT6HT00WXX0025648,12807.67,3177,54
2369,WBAHL83577DT89381,9058.17,2001,40
2370,WBACE51000EN64211,12249.64,848,2
2371,1G6D25R66N0860155,52548.78,5073,54
2372,1HGEM1156YL072522,19983.0,4555,3
2373,WUABWCF56KA903247,78567.03,5455,419
2374,3FAHP39572R223062,4698.98,1142,8
2375,YV1672MK8D2308745,16356.3,3694,107
2376,1FMNU41SX1EC44577,9614.91,2436,70
2377,WBANE535X7CY04131,6995.72,1507,152
2378,WUA1CBF25MN900842,145475.65,10876,77
2379,1FA6P8SJXM5500756,71672.0,26271,2
2380,1G4BR82P1SR424160,11119.49,2785,4
2381,JT3HT05J9W0021440,15643.0,4145,40
2382,TRUUC28N8Y1061144,6590.37,2106,19
2383,WUAPV54B43N905134,19221.07,4493,37
2384,WBSFV9C51FD594227,48492.0,6591,174
2385,WDDJK7EA3DF014430,63350.37,9459,113
2386,WP0AB2A88GK185329,71625.92,10426,126
2387,WAUBGAFL7BA065837,17823.97,3794,221
2388,1FTHX26F9SKB87980,11584.43,2745,27
2389,WDDHF2EB3BA330161,14071.67,2720,121
2390,WVWDB4507LK020282,10462.43,3354,4
2391,SALTY16443A792442,10465.2,3269,59
2392,JM1NB3533X0114962,9294.29,2381,184
2393,WUADU78E48N900352,38638.14,10858,32
2394,YV1RH52Y642353279,8979.89,2074,19
2395,JF1GD79686G506135,11998.13,2165,64
2396,JM1NB3530X0102686,9294.29,2381,184
2397,WZ1DB4C06LW021100,57286.87,4241,809
2398,SALLDHAC8BA274556,39329.67,18341,3
2399,WBACE51020EN70057,12249.64,848,2
2400,WP0AC2Y15LSA70724,170061.67,20724,419
2401,WDBSK74F43F043458,24410.49,5969,104
2402,1FA6P8JZ7K5550017,70066.04,7855,361
2403,1GCCS19X038234948,6747.53,1850,374
2404,SCFFDCCD8AGE11559,107469.49,15500,12
2405,5YJ3E1EB6JF114005,46433.81,4352,3544
2406,SAJEA01T63FM77286,6478.18,1719,72
2407,WP0AB29953S686766,69315.06,14885,91
2408,WBSCD0328VEE10064,18076.02,4529,15
2409,1FA6P8SJ8L5500799,42855.47,4839,3694
2410,2HGFB6E50DH705069,16226.57,2755,1073
2411,1GNLC2EC6FR596343,21683.25,3814,211
2412,1FTNX21S71EB73080,13079.31,3605,500
2413,WV2EE0701SH093176,32632.62,4745,20
2414,JN1AR5EF5JM710156,118986.23,15896,54
2415,WBABW53475PL50689,9026.89,2180,110
2416,WBSEH9C58ACY25335,27429.47,4352,12
2417,1ZVHT85H685175419,16312.07,3844,947
2418,JF1VA2M66H9834882,32407.07,3306,672
2419,JTEBU5JR7H5452898,38049.67,4362,5765
2420,1G4HP54K014226486,3870.81,985,128
2421,WBSHD9310PBK06443,39163.61,6170,3
2422,1ZVBP8CU3D5267348,40119.14,6610,249
2423,WUAWAAFC7HN902161,75373.12,7445,74
2424,JT3HN87R929073345,8881.28,2234,76
2425,JNKBV61E67M724588,9045.99,2063,461
2426,WDBSK71F27F128423,21594.46,4817,370
2427,4F4YR12V8YTM05855,6518.35,1546,13
2428,WBADR63432GN92297,15497.05,709,2
2429,JHMBA3142HC015116,10872.57,3161,5
2430,WBS3R9C56FK331797,45802.17,5631,1089
2431,SALTY1543YA277683,8988.32,2290,6
2432,1FMEU15H9SLB69607,22122.93,4969,75
2433,WBSEH93547B798875,22733.15,4589,148
2434,SALAE25477A438671,8828.2,1948,61
2435,JM1NA3513M0209308,9707.44,2687,60
